"Gene_ID","Gene_Symbol","Gene_Type","Chromosome","Strand","Length","Expression_Level","Log2FC","P_value","Condition","Time_Point","Replicate","Sample_Quality","Batch","Adjusted_P_value"
"ENSG51663","Gene_A","lncRNA","Y","+",55503,53.8388775070599,0.819393364278862,0.0412903728894889,"treatment_B","12h",2,"high",3,0.0932331789079883
"ENSG57870","Gene_A","protein_coding","12","-",27409,56.222852771568,-1.67157501264038,0.0117844945285469,"treatment_B","12h",1,"high",4,0.0894574145444066
"ENSG02986","Gene_A","protein_coding","1","-",95914,82.0221872199765,2.14102686824708,0.0212633833987638,"control","48h",2,"high",1,0.0894574145444066
"ENSG29925","Gene_A","protein_coding","2","+",64093,33.0369718478503,0.710867786106738,0.0830185810336843,"control","24h",1,"medium",2,0.0984206660563177
"ENSG95246","Gene_A","protein_coding","18","+",19434,62.4214465699433,-0.285956443349512,0.0743095463840291,"control","24h",2,"low",1,0.0984206660563177
"ENSG68293","Gene_A","lncRNA","7","+",71736,68.4762305085168,-1.46125847453938,0.0414718044688925,"treatment_B","0h",3,"medium",2,0.0932331789079883
"ENSG62555","Gene_A","protein_coding","5","+",60390,72.9828639339946,-2.01835352323474,0.0842885998543352,"treatment_B","0h",3,"high",1,0.0984206660563177
"ENSG45404","Gene_A","protein_coding","15","-",42071,111.354264616364,-4.95917037357229,0.058548991358839,"treatment_B","24h",2,"low",3,0.0951290236447345
"ENSG65161","Gene_A","protein_coding","22","-",89394,75.5022690960654,1.15539612478759,0.0559442987665534,"treatment_A","12h",1,"high",4,0.094822760458278
"ENSG46435","Gene_A","protein_coding","21","-",29271,104.617618832005,-0.690238877221561,0.0339376879157499,"treatment_B","12h",3,"high",3,0.0932331789079883
"ENSG09642","Gene_A","protein_coding","5","+",60618,84.634421079993,-1.2175855000715,0.0797241415129974,"treatment_A","0h",1,"low",4,0.0984206660563177
"ENSG59134","Gene_A","protein_coding","12","-",63638,58.0941250842158,1.99052979428373,0.066094598476775,"treatment_B","24h",2,"medium",3,0.0977460602216444
"ENSG52132","Gene_A","miRNA","4","-",69591,67.2408773392757,4.68521332981836,0.0286515629151836,"treatment_A","12h",3,"medium",2,0.0927028114405962
"ENSG96849","Gene_A","protein_coding","4","-",86175,102.624795867881,-0.0599952669290716,0.0133209977066144,"control","24h",3,"low",1,0.0894574145444066
"ENSG14183","Gene_A","protein_coding","8","-",32085,45.7735154523463,0.387201635669541,0.0358957605436444,"treatment_B","12h",2,"medium",2,0.0932331789079883
"ENSG15180","Gene_A","protein_coding","1","+",17612,82.3125980333585,1.72434371491155,0.0183493610238656,"treatment_A","12h",3,"high",2,0.0894574145444066
"ENSG27168","Gene_A","protein_coding","20","-",96875,119.757804588682,3.23434384440358,0.0664016361813992,"treatment_A","0h",3,"medium",3,0.0977460602216444
"ENSG89709","Gene_A","miRNA","16","+",51482,53.3365250198241,0.471555092607209,0.0794064904563129,"treatment_A","24h",1,"medium",3,0.0984206660563177
"ENSG09097","Gene_A","protein_coding","15","+",36465,95.5544884109682,-0.135939946804619,0.0728005797369406,"treatment_A","0h",1,"high",2,0.0984206660563177
"ENSG30538","Gene_A","protein_coding","14","-",38757,115.603777127787,0.193474944765816,0.000194993754848838,"control","12h",3,"low",1,0.0389987509697676
"ENSG56219","Gene_A","protein_coding","10","+",1902,80.986110255174,0.360181323034872,0.00633331411518157,"treatment_B","12h",2,"high",1,0.0894574145444066
"ENSG94517","Gene_A","other","16","-",21418,15.8823269393109,0.710526832523473,0.0392513829050586,"treatment_A","24h",3,"high",2,0.0932331789079883
"ENSG07989","Gene_A","other","14","-",15207,46.2122375264545,-1.4184905643004,0.0874505427666009,"control","24h",3,"high",3,0.0984206660563177
"ENSG13536","Gene_A","protein_coding","13","-",57075,99.7194915685809,-0.511352782431365,0.0328510264167562,"treatment_B","48h",3,"medium",4,0.0932331789079883
"ENSG90077","Gene_A","protein_coding","8","+",22494,44.623122435342,-3.44420620715054,0.02684423297178,"treatment_A","48h",1,"high",4,0.0915047455972473
"ENSG06216","Gene_A","protein_coding","18","+",22882,65.4048815379138,-0.425400130456953,0.0772320636315271,"control","48h",1,"high",1,0.0984206660563177
